root,type,adaptation,cap,method,selected,hf_queries,hf_episode_cost,gain,isr,stop_reason,queried
93100,equilibrator,1,8192,pivot_kg,8,1,8192.0,0.32705117370194914,0.0,budget_exhausted,[4]
93100,equilibrator,1,8192,pivot_kg_stop,8,1,8192.0,0.32705117370194914,0.0,budget_exhausted,[4]
93100,equilibrator,1,8192,uniform_v2,8,1,8192.0,0.32705117370194914,0.0,budget_exhausted,[6]
93100,equilibrator,1,8192,ivr_v2,8,1,8192.0,0.32705117370194914,0.0,budget_exhausted,[8]
93100,equilibrator,1,8192,lucb_v2,8,1,8192.0,0.32705117370194914,0.0,budget_exhausted,[8]
93100,equilibrator,1,,no_hf_v2,8,0,0.0,0.32705117370194914,0.0,no_hf_method,[]
93100,equilibrator,1,,proxy_only,8,0,0.0,0.32705117370194914,0.0,no_hf_method,[]
93100,equilibrator,1,8192,author_random_hf,8,1,8192.0,0.32705117370194914,0.0,batch,[1]
93100,equilibrator,1,8192,author_paired_lucb,8,1,8192.0,0.32705117370194914,0.0,batch,[8]
93100,equilibrator,1,8192,author_global_voi,8,1,8192.0,0.32705117370194914,0.0,batch,[0]
93100,equilibrator,1,8192,author_pivot_voi,8,1,8192.0,0.32705117370194914,0.0,batch,[0]
93100,equilibrator,1,16384,pivot_kg,8,2,16384.0,0.32705117370194914,0.0,budget_exhausted,"[4, 2]"
93100,equilibrator,1,16384,pivot_kg_stop,8,2,16384.0,0.32705117370194914,0.0,budget_exhausted,"[4, 7]"
93100,equilibrator,1,16384,uniform_v2,8,2,16384.0,0.32705117370194914,0.0,budget_exhausted,"[6, 4]"
93100,equilibrator,1,16384,ivr_v2,8,2,16384.0,0.32705117370194914,0.0,budget_exhausted,"[8, 7]"
93100,equilibrator,1,16384,lucb_v2,8,2,16384.0,0.32705117370194914,0.0,budget_exhausted,"[8, 7]"
93100,equilibrator,1,16384,author_random_hf,8,2,16384.0,0.32705117370194914,0.0,batch,"[1, 5]"
93100,equilibrator,1,16384,author_paired_lucb,8,2,16384.0,0.32705117370194914,0.0,batch,"[8, 7]"
93100,equilibrator,1,16384,author_global_voi,8,2,16384.0,0.32705117370194914,0.0,batch,"[0, 1]"
93100,equilibrator,1,16384,author_pivot_voi,8,2,16384.0,0.32705117370194914,0.0,batch,"[0, 1]"
93100,equilibrator,1,32768,pivot_kg,8,4,32768.0,0.32705117370194914,0.0,budget_exhausted,"[4, 2, 0, 8]"
93100,equilibrator,1,32768,pivot_kg_stop,8,4,32768.0,0.32705117370194914,0.0,budget_exhausted,"[4, 7, 1, 5]"
93100,equilibrator,1,32768,uniform_v2,8,4,32768.0,0.32705117370194914,0.0,budget_exhausted,"[6, 4, 5, 2]"
93100,equilibrator,1,32768,ivr_v2,8,4,32768.0,0.32705117370194914,0.0,budget_exhausted,"[8, 7, 6, 5]"
93100,equilibrator,1,32768,lucb_v2,8,4,32768.0,0.32705117370194914,0.0,budget_exhausted,"[8, 7, 6, 5]"
93100,equilibrator,1,32768,author_random_hf,8,4,32768.0,0.32705117370194914,0.0,batch,"[1, 5, 0, 7]"
93100,equilibrator,1,32768,author_paired_lucb,8,4,32768.0,0.32705117370194914,0.0,batch,"[8, 7, 6, 5]"
93100,equilibrator,1,32768,author_global_voi,8,4,32768.0,0.32705117370194914,0.0,batch,"[0, 1, 2, 3]"
93100,equilibrator,1,32768,author_pivot_voi,8,4,32768.0,0.32705117370194914,0.0,batch,"[0, 1, 2, 3]"
93100,equilibrator,1,,all_hf_reference,8,9,73728.0,0.32705117370194914,0.0,all,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
93100,equilibrator,8,8192,pivot_kg,8,1,8192.0,0.06708027866171773,0.0,budget_exhausted,[8]
93100,equilibrator,8,8192,pivot_kg_stop,8,1,8192.0,0.06708027866171773,0.0,budget_exhausted,[8]
93100,equilibrator,8,8192,uniform_v2,8,1,8192.0,0.06708027866171773,0.0,budget_exhausted,[6]
93100,equilibrator,8,8192,ivr_v2,8,1,8192.0,0.06708027866171773,0.0,budget_exhausted,[8]
93100,equilibrator,8,8192,lucb_v2,8,1,8192.0,0.06708027866171773,0.0,budget_exhausted,[8]
93100,equilibrator,8,,no_hf_v2,8,0,0.0,0.06708027866171773,0.0,no_hf_method,[]
93100,equilibrator,8,,proxy_only,8,0,0.0,0.06708027866171773,0.0,no_hf_method,[]
93100,equilibrator,8,8192,author_random_hf,8,1,8192.0,0.06708027866171773,0.0,batch,[1]
93100,equilibrator,8,8192,author_paired_lucb,5,1,8192.0,0.04811390841502444,0.018966370246693287,batch,[4]
93100,equilibrator,8,8192,author_global_voi,4,1,8192.0,0.040141455865739806,0.026938822795977924,batch,[0]
93100,equilibrator,8,8192,author_pivot_voi,4,1,8192.0,0.040141455865739806,0.026938822795977924,batch,[0]
93100,equilibrator,8,16384,pivot_kg,8,2,16384.0,0.06708027866171773,0.0,budget_exhausted,"[8, 7]"
93100,equilibrator,8,16384,pivot_kg_stop,8,2,16384.0,0.06708027866171773,0.0,budget_exhausted,"[8, 7]"
93100,equilibrator,8,16384,uniform_v2,8,2,16384.0,0.06708027866171773,0.0,budget_exhausted,"[6, 4]"
93100,equilibrator,8,16384,ivr_v2,8,2,16384.0,0.06708027866171773,0.0,budget_exhausted,"[8, 7]"
93100,equilibrator,8,16384,lucb_v2,8,2,16384.0,0.06708027866171773,0.0,budget_exhausted,"[8, 7]"
93100,equilibrator,8,16384,author_random_hf,8,2,16384.0,0.06708027866171773,0.0,batch,"[1, 5]"
93100,equilibrator,8,16384,author_paired_lucb,6,2,16384.0,0.05526119639744903,0.011819082264268699,batch,"[4, 5]"
93100,equilibrator,8,16384,author_global_voi,4,2,16384.0,0.040141455865739806,0.026938822795977924,batch,"[0, 1]"
93100,equilibrator,8,16384,author_pivot_voi,4,2,16384.0,0.040141455865739806,0.026938822795977924,batch,"[0, 1]"
93100,equilibrator,8,32768,pivot_kg,8,4,32768.0,0.06708027866171773,0.0,budget_exhausted,"[8, 7, 6, 5]"
93100,equilibrator,8,32768,pivot_kg_stop,8,4,32768.0,0.06708027866171773,0.0,budget_exhausted,"[8, 7, 6, 3]"
93100,equilibrator,8,32768,uniform_v2,8,4,32768.0,0.06708027866171773,0.0,budget_exhausted,"[6, 4, 5, 2]"
93100,equilibrator,8,32768,ivr_v2,8,4,32768.0,0.06708027866171773,0.0,budget_exhausted,"[8, 7, 6, 5]"
93100,equilibrator,8,32768,lucb_v2,8,4,32768.0,0.06708027866171773,0.0,budget_exhausted,"[8, 7, 6, 5]"
93100,equilibrator,8,32768,author_random_hf,8,4,32768.0,0.06708027866171773,0.0,batch,"[1, 5, 0, 7]"
93100,equilibrator,8,32768,author_paired_lucb,3,4,32768.0,0.031343838749595065,0.035736439912122664,batch,"[4, 5, 6, 7]"
93100,equilibrator,8,32768,author_global_voi,4,4,32768.0,0.040141455865739806,0.026938822795977924,batch,"[0, 1, 2, 3]"
93100,equilibrator,8,32768,author_pivot_voi,4,4,32768.0,0.040141455865739806,0.026938822795977924,batch,"[0, 1, 2, 3]"
93100,equilibrator,8,,all_hf_reference,5,9,73728.0,0.04811390841502444,0.018966370246693287,all,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
93101,exploiter,1,8192,pivot_kg,8,1,8192.0,0.29882935401511856,0.0,budget_exhausted,[1]
93101,exploiter,1,8192,pivot_kg_stop,8,0,0.0,0.29882935401511856,0.0,selection_probability,[]
93101,exploiter,1,8192,uniform_v2,8,1,8192.0,0.29882935401511856,0.0,budget_exhausted,[8]
93101,exploiter,1,8192,ivr_v2,8,1,8192.0,0.29882935401511856,0.0,budget_exhausted,[8]
93101,exploiter,1,8192,lucb_v2,8,1,8192.0,0.29882935401511856,0.0,budget_exhausted,[8]
93101,exploiter,1,,no_hf_v2,8,0,0.0,0.29882935401511856,0.0,no_hf_method,[]
93101,exploiter,1,,proxy_only,8,0,0.0,0.29882935401511856,0.0,no_hf_method,[]
93101,exploiter,1,8192,author_random_hf,7,1,8192.0,0.2652467205231814,0.033582633491937186,batch,[8]
93101,exploiter,1,8192,author_paired_lucb,7,1,8192.0,0.2652467205231814,0.033582633491937186,batch,[8]
93101,exploiter,1,8192,author_global_voi,8,1,8192.0,0.29882935401511856,0.0,batch,[0]
93101,exploiter,1,8192,author_pivot_voi,8,1,8192.0,0.29882935401511856,0.0,batch,[0]
93101,exploiter,1,16384,pivot_kg,8,2,16384.0,0.29882935401511856,0.0,budget_exhausted,"[1, 4]"
93101,exploiter,1,16384,pivot_kg_stop,8,0,0.0,0.29882935401511856,0.0,selection_probability,[]
93101,exploiter,1,16384,uniform_v2,8,2,16384.0,0.29882935401511856,0.0,budget_exhausted,"[8, 4]"
93101,exploiter,1,16384,ivr_v2,8,2,16384.0,0.29882935401511856,0.0,budget_exhausted,"[8, 7]"
93101,exploiter,1,16384,lucb_v2,8,2,16384.0,0.29882935401511856,0.0,budget_exhausted,"[8, 7]"
93101,exploiter,1,16384,author_random_hf,7,2,16384.0,0.2652467205231814,0.033582633491937186,batch,"[8, 0]"
93101,exploiter,1,16384,author_paired_lucb,8,2,16384.0,0.29882935401511856,0.0,batch,"[8, 7]"
93101,exploiter,1,16384,author_global_voi,8,2,16384.0,0.29882935401511856,0.0,batch,"[0, 1]"
93101,exploiter,1,16384,author_pivot_voi,8,2,16384.0,0.29882935401511856,0.0,batch,"[0, 1]"
93101,exploiter,1,32768,pivot_kg,8,4,32768.0,0.29882935401511856,0.0,budget_exhausted,"[1, 4, 8, 0]"
93101,exploiter,1,32768,pivot_kg_stop,8,0,0.0,0.29882935401511856,0.0,selection_probability,[]
93101,exploiter,1,32768,uniform_v2,8,4,32768.0,0.29882935401511856,0.0,budget_exhausted,"[8, 4, 0, 7]"
93101,exploiter,1,32768,ivr_v2,8,4,32768.0,0.29882935401511856,0.0,budget_exhausted,"[8, 7, 6, 5]"
93101,exploiter,1,32768,lucb_v2,8,4,32768.0,0.29882935401511856,0.0,budget_exhausted,"[8, 7, 6, 5]"
93101,exploiter,1,32768,author_random_hf,7,4,32768.0,0.2652467205231814,0.033582633491937186,batch,"[8, 0, 6, 3]"
93101,exploiter,1,32768,author_paired_lucb,8,4,32768.0,0.29882935401511856,0.0,batch,"[8, 7, 6, 5]"
93101,exploiter,1,32768,author_global_voi,8,4,32768.0,0.29882935401511856,0.0,batch,"[0, 1, 2, 3]"
93101,exploiter,1,32768,author_pivot_voi,8,4,32768.0,0.29882935401511856,0.0,batch,"[0, 1, 2, 3]"
93101,exploiter,1,,all_hf_reference,8,9,73728.0,0.29882935401511856,0.0,all,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
93101,exploiter,8,8192,pivot_kg,8,1,8192.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,[8]
93101,exploiter,8,8192,pivot_kg_stop,8,1,8192.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,[8]
93101,exploiter,8,8192,uniform_v2,8,1,8192.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,[8]
93101,exploiter,8,8192,ivr_v2,8,1,8192.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,[8]
93101,exploiter,8,8192,lucb_v2,8,1,8192.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,[8]
93101,exploiter,8,,no_hf_v2,8,0,0.0,-0.20614117891829925,0.20614117891829925,no_hf_method,[]
93101,exploiter,8,,proxy_only,8,0,0.0,-0.20614117891829925,0.20614117891829925,no_hf_method,[]
93101,exploiter,8,8192,author_random_hf,7,1,8192.0,-0.18466001262367848,0.18466001262367848,batch,[8]
93101,exploiter,8,8192,author_paired_lucb,5,1,8192.0,-0.13801657248605897,0.13801657248605897,batch,[4]
93101,exploiter,8,8192,author_global_voi,4,1,8192.0,-0.11285429864306046,0.11285429864306046,batch,[0]
93101,exploiter,8,8192,author_pivot_voi,4,1,8192.0,-0.11285429864306046,0.11285429864306046,batch,[0]
93101,exploiter,8,16384,pivot_kg,8,2,16384.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 7]"
93101,exploiter,8,16384,pivot_kg_stop,8,2,16384.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 7]"
93101,exploiter,8,16384,uniform_v2,8,2,16384.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 4]"
93101,exploiter,8,16384,ivr_v2,8,2,16384.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 7]"
93101,exploiter,8,16384,lucb_v2,8,2,16384.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 7]"
93101,exploiter,8,16384,author_random_hf,7,2,16384.0,-0.18466001262367848,0.18466001262367848,batch,"[8, 0]"
93101,exploiter,8,16384,author_paired_lucb,6,2,16384.0,-0.16195181047959845,0.16195181047959845,batch,"[4, 5]"
93101,exploiter,8,16384,author_global_voi,4,2,16384.0,-0.11285429864306046,0.11285429864306046,batch,"[0, 1]"
93101,exploiter,8,16384,author_pivot_voi,4,2,16384.0,-0.11285429864306046,0.11285429864306046,batch,"[0, 1]"
93101,exploiter,8,32768,pivot_kg,8,4,32768.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 7, 6, 0]"
93101,exploiter,8,32768,pivot_kg_stop,8,4,32768.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 7, 6, 4]"
93101,exploiter,8,32768,uniform_v2,8,4,32768.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 4, 0, 7]"
93101,exploiter,8,32768,ivr_v2,8,4,32768.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 7, 6, 5]"
93101,exploiter,8,32768,lucb_v2,8,4,32768.0,-0.20614117891829925,0.20614117891829925,budget_exhausted,"[8, 7, 6, 5]"
93101,exploiter,8,32768,author_random_hf,7,4,32768.0,-0.18466001262367848,0.18466001262367848,batch,"[8, 0, 6, 3]"
93101,exploiter,8,32768,author_paired_lucb,8,4,32768.0,-0.20614117891829925,0.20614117891829925,batch,"[4, 5, 6, 7]"
93101,exploiter,8,32768,author_global_voi,4,4,32768.0,-0.11285429864306046,0.11285429864306046,batch,"[0, 1, 2, 3]"
93101,exploiter,8,32768,author_pivot_voi,4,4,32768.0,-0.11285429864306046,0.11285429864306046,batch,"[0, 1, 2, 3]"
93101,exploiter,8,,all_hf_reference,0,9,73728.0,0.0,0.0,all,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
93102,equilibrator,1,8192,pivot_kg,8,1,8192.0,0.3209921573230414,0.0,budget_exhausted,[1]
93102,equilibrator,1,8192,pivot_kg_stop,8,1,8192.0,0.3209921573230414,0.0,budget_exhausted,[1]
93102,equilibrator,1,8192,uniform_v2,8,1,8192.0,0.3209921573230414,0.0,budget_exhausted,[2]
93102,equilibrator,1,8192,ivr_v2,8,1,8192.0,0.3209921573230414,0.0,budget_exhausted,[8]
93102,equilibrator,1,8192,lucb_v2,8,1,8192.0,0.3209921573230414,0.0,budget_exhausted,[8]
93102,equilibrator,1,,no_hf_v2,8,0,0.0,0.3209921573230414,0.0,no_hf_method,[]
93102,equilibrator,1,,proxy_only,8,0,0.0,0.3209921573230414,0.0,no_hf_method,[]
93102,equilibrator,1,8192,author_random_hf,8,1,8192.0,0.3209921573230414,0.0,batch,[1]
93102,equilibrator,1,8192,author_paired_lucb,8,1,8192.0,0.3209921573230414,0.0,batch,[8]
93102,equilibrator,1,8192,author_global_voi,8,1,8192.0,0.3209921573230414,0.0,batch,[0]
93102,equilibrator,1,8192,author_pivot_voi,8,1,8192.0,0.3209921573230414,0.0,batch,[0]
93102,equilibrator,1,16384,pivot_kg,8,2,16384.0,0.3209921573230414,0.0,budget_exhausted,"[1, 3]"
93102,equilibrator,1,16384,pivot_kg_stop,8,2,16384.0,0.3209921573230414,0.0,budget_exhausted,"[1, 4]"
93102,equilibrator,1,16384,uniform_v2,8,2,16384.0,0.3209921573230414,0.0,budget_exhausted,"[2, 5]"
93102,equilibrator,1,16384,ivr_v2,8,2,16384.0,0.3209921573230414,0.0,budget_exhausted,"[8, 7]"
93102,equilibrator,1,16384,lucb_v2,8,2,16384.0,0.3209921573230414,0.0,budget_exhausted,"[8, 7]"
93102,equilibrator,1,16384,author_random_hf,8,2,16384.0,0.3209921573230414,0.0,batch,"[1, 7]"
93102,equilibrator,1,16384,author_paired_lucb,8,2,16384.0,0.3209921573230414,0.0,batch,"[8, 7]"
93102,equilibrator,1,16384,author_global_voi,8,2,16384.0,0.3209921573230414,0.0,batch,"[0, 1]"
93102,equilibrator,1,16384,author_pivot_voi,8,2,16384.0,0.3209921573230414,0.0,batch,"[0, 1]"
93102,equilibrator,1,32768,pivot_kg,8,4,32768.0,0.3209921573230414,0.0,budget_exhausted,"[1, 3, 8, 0]"
93102,equilibrator,1,32768,pivot_kg_stop,8,4,32768.0,0.3209921573230414,0.0,budget_exhausted,"[1, 4, 2, 6]"
93102,equilibrator,1,32768,uniform_v2,8,4,32768.0,0.3209921573230414,0.0,budget_exhausted,"[2, 5, 7, 8]"
93102,equilibrator,1,32768,ivr_v2,8,4,32768.0,0.3209921573230414,0.0,budget_exhausted,"[8, 7, 6, 5]"
93102,equilibrator,1,32768,lucb_v2,8,4,32768.0,0.3209921573230414,0.0,budget_exhausted,"[8, 7, 6, 5]"
93102,equilibrator,1,32768,author_random_hf,8,4,32768.0,0.3209921573230414,0.0,batch,"[1, 7, 2, 8]"
93102,equilibrator,1,32768,author_paired_lucb,8,4,32768.0,0.3209921573230414,0.0,batch,"[8, 7, 6, 5]"
93102,equilibrator,1,32768,author_global_voi,8,4,32768.0,0.3209921573230414,0.0,batch,"[0, 1, 2, 3]"
93102,equilibrator,1,32768,author_pivot_voi,8,4,32768.0,0.3209921573230414,0.0,batch,"[0, 1, 2, 3]"
93102,equilibrator,1,,all_hf_reference,8,9,73728.0,0.3209921573230414,0.0,all,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
93102,equilibrator,8,8192,pivot_kg,8,1,8192.0,0.06513789683311916,0.0,budget_exhausted,[8]
93102,equilibrator,8,8192,pivot_kg_stop,8,1,8192.0,0.06513789683311916,0.0,budget_exhausted,[8]
93102,equilibrator,8,8192,uniform_v2,8,1,8192.0,0.06513789683311916,0.0,budget_exhausted,[2]
93102,equilibrator,8,8192,ivr_v2,8,1,8192.0,0.06513789683311916,0.0,budget_exhausted,[8]
93102,equilibrator,8,8192,lucb_v2,8,1,8192.0,0.06513789683311916,0.0,budget_exhausted,[8]
93102,equilibrator,8,,no_hf_v2,8,0,0.0,0.06513789683311916,0.0,no_hf_method,[]
93102,equilibrator,8,,proxy_only,8,0,0.0,0.06513789683311916,0.0,no_hf_method,[]
93102,equilibrator,8,8192,author_random_hf,8,1,8192.0,0.06513789683311916,0.0,batch,[1]
93102,equilibrator,8,8192,author_paired_lucb,5,1,8192.0,0.04373291630630727,0.02140498052681189,batch,[4]
93102,equilibrator,8,8192,author_global_voi,4,1,8192.0,0.035792127921207784,0.029345768911911374,batch,[0]
93102,equilibrator,8,8192,author_pivot_voi,4,1,8192.0,0.035792127921207784,0.029345768911911374,batch,[0]
93102,equilibrator,8,16384,pivot_kg,8,2,16384.0,0.06513789683311916,0.0,budget_exhausted,"[8, 7]"
93102,equilibrator,8,16384,pivot_kg_stop,8,2,16384.0,0.06513789683311916,0.0,budget_exhausted,"[8, 7]"
93102,equilibrator,8,16384,uniform_v2,8,2,16384.0,0.06513789683311916,0.0,budget_exhausted,"[2, 5]"
93102,equilibrator,8,16384,ivr_v2,8,2,16384.0,0.06513789683311916,0.0,budget_exhausted,"[8, 7]"
93102,equilibrator,8,16384,lucb_v2,8,2,16384.0,0.06513789683311916,0.0,budget_exhausted,"[8, 7]"
93102,equilibrator,8,16384,author_random_hf,8,2,16384.0,0.06513789683311916,0.0,batch,"[1, 7]"
93102,equilibrator,8,16384,author_paired_lucb,6,2,16384.0,0.05127080725332572,0.013867089579793435,batch,"[4, 5]"
93102,equilibrator,8,16384,author_global_voi,4,2,16384.0,0.035792127921207784,0.029345768911911374,batch,"[0, 1]"
93102,equilibrator,8,16384,author_pivot_voi,4,2,16384.0,0.035792127921207784,0.029345768911911374,batch,"[0, 1]"
