figure,key,label,mean,lo,hi,n,version,mean_gain,mean_hands,signflip_p
01_reversal,1,Short (1 step),0.025,0.008333333333333333,0.04583333333333333,30,,,,
01_reversal,8,Long (8 steps),0.5166666666666667,0.3458333333333333,0.6833333333333333,30,,,,
02_method_regret,proxy_only,Proxy only (0 HF hands),0.6705579461206342,0.4291837827614052,0.9175560344980773,30,,-0.5507845808066045,0.0,
02_method_regret,no_hf,"Calibrated, no HF (0 hands)",0.2587645606507205,0.1592275239770399,0.3681911159958022,30,,-0.1389911953366908,0.0,
02_method_regret,uniform_fixed,Uniform fixed (exact expectation),0.04315282059502344,0.02245385829625144,0.06987535307453814,30,,0.07662054471900623,16384.0,
02_method_regret,uniform_small,Uniform small (MC expectation),0.02382487643890603,0.011180637494750007,0.03897455201584946,30,,0.09594848887512362,16384.0,
02_method_regret,pivot_kg_menu,PIVOT-KG menu,0.013264105167120193,6.204946976704855e-05,0.029598243873369318,30,,0.10650926014690947,16384.0,
02_method_regret,pivot_kg_menu_stop,PIVOT-KG menu + stopping,0.013264105167120193,6.204946976704855e-05,0.029598243873369318,30,,0.10650926014690947,12083.2,
02_method_regret,ivr_menu,IVR menu,0.021306393588441067,0.004963956288815311,0.04129493350633571,30,,0.09846697172558859,16384.0,
02_method_regret,lucb_fixed,LUCB fixed,0.01890222580948727,0.0,0.05517208555345222,30,,0.10087113950454236,16384.0,
02_method_regret,ivr_fixed,IVR fixed,0.02138420395389493,0.0,0.059197660089464005,30,,0.09838916136013472,16384.0,
02_method_regret,pivot_kg_fixed,PIVOT-KG fixed,0.00010355252668188634,0.0,0.000310657580045659,30,,0.11966981278734776,16384.0,
02_method_regret,pivot_kg_menu_unpaired,"PIVOT-KG menu, unpaired",0.02676690882117906,0.008125634474083902,0.04846098367742528,30,,0.09300645649285058,16384.0,
02_method_regret,top_proxy_fixed,Top-proxy fixed,0.0040165700194172566,0.0,0.010515118183242168,30,,0.11575679529461239,16384.0,
02_method_regret,all_hf_fixed,"All-HF fixed (65,536 hands)",0.007277489499699604,0.00010355252668188634,0.01810072392828157,30,,0.11249587581433003,65536.0,
03_stopping,pivot_kg_menu,Full budget,16384.0,,,30,,0.10650926014690947,,
03_stopping,pivot_kg_menu_stop,Early stopping,12083.2,,,30,,0.10650926014690947,,
04_e1,eta_0.05,$\eta = 0.05$,0.0027236970416379632,-0.0011358082025124643,0.009306899327426354,30,Frozen,,,
04_e1,eta_0.05,$\eta = 0.05$,-0.014818541051464894,-0.03200783121707705,0.000248446417934602,30,Corrected,,,
04_e1,eta_0.10,$\eta = 0.10$,0.08525640567842044,0.026489858109134297,0.1561196253624058,30,Frozen,,,
04_e1,eta_0.10,$\eta = 0.10$,0.033217795845079695,0.006115813353534149,0.06619132596538527,30,Corrected,,,
04_e1,eta_0.25,$\eta = 0.25$,0.009563298413501151,0.0,0.025898212221779786,30,Frozen,,,
04_e1,eta_0.25,$\eta = 0.25$,0.014825709441662515,0.002279887002304045,0.03141472591906142,30,Corrected,,,
04_e1,eta_0.40,$\eta = 0.40$,0.0,0.0,0.0,30,Frozen,,,
04_e1,eta_0.40,$\eta = 0.40$,0.001501260204969788,0.0,0.004503780614909364,30,Corrected,,,
04_e1,pex_0.80,$P(\mathrm{exploiter}) = 0.80$,0.021502906118356382,0.0,0.05523444374001087,30,Frozen,,,
04_e1,pex_0.80,$P(\mathrm{exploiter}) = 0.80$,0.023550164966851153,0.0033172789772149647,0.05270580253266703,30,Corrected,,,
04_e1,pex_0.95,$P(\mathrm{exploiter}) = 0.95$,0.0,0.0,0.0,30,Frozen,,,
04_e1,pex_0.95,$P(\mathrm{exploiter}) = 0.95$,0.0,0.0,0.0,30,Corrected,,,
04_e1,mix_cont,Continuous mixture,0.041654266541933896,0.00652565364723641,0.08629348120161899,30,Frozen,,,
04_e1,mix_cont,Continuous mixture,0.05120157481029881,0.003287301125396214,0.11221712936653153,30,Corrected,,,
05_contrasts,H_A_allocation_pivot_minus_expected_uniform,H_A: menu - expected Uniform,0.02988871542790324,0.005867751676055126,0.05809876278019909,30,,,,0.02148
05_contrasts,H_A_registered_draw,H_A: menu - registered Uniform draw,0.02262850770968641,-0.010828703119940037,0.06702478046158547,30,,,,0.32074
05_contrasts,H_B_acquisition_pivot_minus_ivr_menu,H_B: menu - IVR menu,0.008042288421320874,0.0,0.021976114725434884,30,,,,0.25008
05_contrasts,H_B2_pivot_minus_lucb_fixed,H_B2: menu - LUCB fixed,0.005638120642367077,-0.024931568989463738,0.049394426536547124,30,,,,0.93644
05_contrasts,H_B3_pivot_minus_top_proxy_fixed,H_B3: menu - top-proxy fixed,-0.009247535147702936,-0.026208215379815894,0.0029450848104851045,30,,,,0.5058
05_contrasts,H_C_pairing_pivot_minus_unpaired,H_C: paired - unpaired menu,0.013502803654058869,-0.0019153189516483205,0.032026155562791016,30,,,,0.1549
05_contrasts,H_D_exact_minus_noisy_calibration,H_D: exact - noisy calibration,0.0,0.0,0.0,30,,,,1.0
05_contrasts,H_D_noisy_calibration_pivot_minus_expected_uniform,H_D: noisy menu - expected Uniform,0.028790903254631982,0.006159580944751917,0.054609770290249306,30,,,,0.01956
05_contrasts,H_E_stop_gain_minus_menu,H_E: stopping - full menu,0.0,0.0,0.0,30,,,,1.0
05_contrasts,H_F_menu_minus_fixed_size,H_F: menu - fixed size,-0.013160552640438306,-0.02957569332766962,0.0,30,,,,0.18854
05_contrasts,H_G_interaction_long_minus_short_paired,H_G: long - short allocation contrast,0.029888715427903223,0.005867751676055072,0.05809876278019908,30,,,,
