root,adaptation,budget_queries,method,selected_idx,hf_queries,hf_episode_cost,hf_native_environment_steps,hf_native_agent_steps,hf_native_episode_compute_seconds,selected_audit_gain,empirical_oracle_regret,queries,selected_distribution,allocation_mc_se_gain
301,4,1,pivot_kg,6,1,24,7193.0,44082.0,74.73609485907946,16.749003061617287,0.0,[5],,
301,4,1,uniform_v2,6,1,24,6974.0,43044.0,73.42944491520757,16.749003061617287,0.0,[2],,
301,4,1,ivr_v2,6,1,24,7193.0,44082.0,74.73609485907946,16.749003061617287,0.0,[5],,
301,4,1,lucb_v2,6,1,24,7193.0,44082.0,74.73609485907946,16.749003061617287,0.0,[5],,
301,4,1,no_hf_v2,6,0,0,0.0,0.0,0.0,16.749003061617287,0.0,[],,
301,4,1,proxy_only,5,0,0,0.0,0.0,0.0,-1.1140730799842813,17.863076141601567,[],,
301,4,1,global_voi_heuristic,6,1,24,6974.0,43044.0,73.42944491520757,16.749003061617287,0.0,[2],,
301,4,1,uniform_v2_expected_100,,1,24,7133.45,42240.44,72.11238305249135,16.749003061617287,0.0,,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
301,4,2,pivot_kg,6,2,40,11961.0,70106.0,119.63672776799649,16.749003061617287,0.0,"[5, 4]",,
301,4,2,uniform_v2,6,2,40,11742.0,69068.0,118.3300778241246,16.749003061617287,0.0,"[2, 4]",,
301,4,2,ivr_v2,6,2,40,11961.0,70106.0,119.63672776799649,16.749003061617287,0.0,"[5, 4]",,
301,4,2,lucb_v2,6,2,40,11993.0,72164.0,122.65429100213805,16.749003061617287,0.0,"[5, 6]",,
301,4,2,no_hf_v2,6,0,0,0.0,0.0,0.0,16.749003061617287,0.0,[],,
301,4,2,proxy_only,5,0,0,0.0,0.0,0.0,-1.1140730799842813,17.863076141601567,[],,
301,4,2,global_voi_heuristic,6,2,40,11744.0,68245.0,117.09147733915597,16.749003061617287,0.0,"[2, 1]",,
301,4,2,uniform_v2_expected_100,,2,40,11878.06,70146.34,119.77028683362761,16.749003061617287,0.0,,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
301,4,4,pivot_kg,6,4,72,21531.0,123389.0,211.2169563350035,16.749003061617287,0.0,"[5, 4, 6, 1]",,
301,4,4,uniform_v2,6,4,72,21298.0,124873.0,213.49893667799188,16.749003061617287,0.0,"[2, 4, 1, 3]",,
301,4,4,ivr_v2,6,4,72,21531.0,123389.0,211.2169563350035,16.749003061617287,0.0,"[5, 4, 1, 6]",,
301,4,4,lucb_v2,6,4,72,21531.0,123389.0,211.2169563350035,16.749003061617287,0.0,"[5, 6, 4, 1]",,
