policy_id,proxy_value,round_id,true_value
bb04999f69a86a50,3.4305372299039734,0,3.4305372299039734
5eb5028826f8e705,5.115424217253637,1,5.115424217253637
5d5d56948302b2ec,6.59022781485011,2,6.59022781485011
9bbb380b8fb7f284,7.902522814733995,3,7.902522814733995
10a3a0237f1fb2c6,9.024683388626087,4,9.024683388626087
1f1f20597cdaf4d9,10.0,5,10.0
2672fef8587a04ab,10.0,6,10.0
ca62e747f4817abf,10.0,7,10.0
797291e9ab61cc89,10.0,8,10.0
7ce37cc1778aa673,10.0,9,10.0
7ce37cc1778aa673,10.0,10,10.0
7ce37cc1778aa673,10.0,11,10.0
