mean_competition_effect,mode,n,strategic_sensitivity
-0.008064,adaptive,3,0.0105
-0.009216,adaptive,3,0.012
-0.009417362399999999,adaptive,3,0.012499999999999999
-0.010761700306649252,adaptive,3,0.014999999999999998
-0.012843417599999999,adaptive,3,0.02
-0.016128,adaptive,3,0.021
-0.018432,adaptive,3,0.024
-0.018834724799999997,adaptive,3,0.024999999999999998
-0.01802938344623325,adaptive,6,0.029999999999999995
-0.025686835199999997,adaptive,3,0.04
-0.032256,adaptive,3,0.042
-0.036864,adaptive,3,0.048
-0.037669449599999995,adaptive,3,0.049999999999999996
-0.036058766892466496,adaptive,6,0.05999999999999999
-0.051373670399999995,adaptive,3,0.08
-0.06451199999999999,adaptive,3,0.084
-0.07372799999999999,adaptive,3,0.096
-0.07533889919999999,adaptive,3,0.09999999999999999
-0.07211753378493299,adaptive,6,0.11999999999999998
-0.10274734079999999,adaptive,3,0.16
-0.11628293023334398,adaptive,3,0.23999999999999996
0.0,fixed,6,0.0
-0.007679999999999999,reactive,3,0.01
-0.015359999999999999,reactive,3,0.02
-0.030719999999999997,reactive,3,0.04
-0.061439999999999995,reactive,3,0.08
