method,scaffold,run_id,round,proxy_score,gate_score,assessment_score_if_terminal,CISR,resource_metrics,logical_hf_queries,pre_decision_pair_evaluations,post_decision_truth_evaluations,post_decision_truth_pair_evaluations
Proxy Only,mini-SWE-agent,harness_skill_evolution-trajectory-000,0,1.0,0.0,0.0,0.0,"{""context_peak"":2146.0,""dependency_operations"":0.0,""files_read"":5.0,""files_written"":0.0,""model_calls"":4.0,""tests_executed"":0.0,""tokens"":1676.0,""tool_calls"":4.0,""wall_clock_seconds"":7.728691389085725}",,,,
Paired LUCB,mini-SWE-agent,harness_skill_evolution-trajectory-000,0,0.0,0.0,0.0,0.0,"{""context_peak"":1921.0,""dependency_operations"":0.0,""files_read"":7.0,""files_written"":1.0,""model_calls"":4.0,""tests_executed"":0.0,""tokens"":1716.0,""tool_calls"":4.0,""wall_clock_seconds"":6.166895010974258}",,,,
Global-VOI,mini-SWE-agent,harness_skill_evolution-trajectory-000,0,1.0,0.0,0.0,0.0,"{""context_peak"":2159.0,""dependency_operations"":0.0,""files_read"":5.0,""files_written"":1.0,""model_calls"":4.0,""tests_executed"":1.0,""tokens"":1917.0,""tool_calls"":4.0,""wall_clock_seconds"":6.880141631932929}",,,,
PIVOT-VOI,mini-SWE-agent,harness_skill_evolution-trajectory-000,0,0.0,0.0,0.0,0.0,"{""context_peak"":1874.0,""dependency_operations"":0.0,""files_read"":6.0,""files_written"":1.0,""model_calls"":4.0,""tests_executed"":0.0,""tokens"":1719.0,""tool_calls"":4.0,""wall_clock_seconds"":6.453959446051158}",,,,
All-HF Oracle,mini-SWE-agent,harness_skill_evolution-trajectory-000,0,0.0,0.0,0.0,0.0,"{""context_peak"":1893.0,""dependency_operations"":0.0,""files_read"":7.0,""files_written"":1.0,""model_calls"":4.0,""tests_executed"":0.0,""tokens"":1753.0,""tool_calls"":4.0,""wall_clock_seconds"":6.518181071965955}",,,,
Proxy Only,mini-SWE-agent,mutation_self_edit-trajectory-000,0,0.0,0.0,0.0,0.0,"{""context_peak"":1881.0,""dependency_operations"":0.0,""files_read"":5.0,""files_written"":0.0,""model_calls"":4.0,""tests_executed"":0.0,""tokens"":1694.0,""tool_calls"":4.0,""wall_clock_seconds"":6.094597282935865}",,,,
Paired LUCB,mini-SWE-agent,mutation_self_edit-trajectory-000,0,0.0,0.0,0.0,0.0,"{""context_peak"":1934.0,""dependency_operations"":0.0,""files_read"":3.0,""files_written"":0.0,""model_calls"":2.0,""tests_executed"":0.0,""tokens"":618.0,""tool_calls"":2.0,""wall_clock_seconds"":219.16404879197944}",,,,
Global-VOI,mini-SWE-agent,mutation_self_edit-trajectory-000,0,0.0,1.0,0.0,1.0,"{""context_peak"":1907.0,""dependency_operations"":0.0,""files_read"":7.0,""files_written"":2.0,""model_calls"":4.0,""tests_executed"":0.0,""tokens"":1730.0,""tool_calls"":4.0,""wall_clock_seconds"":7.491470835986547}",,,,
PIVOT-VOI,mini-SWE-agent,mutation_self_edit-trajectory-000,0,0.0,0.0,0.0,0.0,"{""context_peak"":1904.0,""dependency_operations"":0.0,""files_read"":6.0,""files_written"":1.0,""model_calls"":4.0,""tests_executed"":0.0,""tokens"":1717.0,""tool_calls"":4.0,""wall_clock_seconds"":9.443326137959957}",,,,
All-HF Oracle,mini-SWE-agent,mutation_self_edit-trajectory-000,0,0.0,0.0,0.0,0.0,"{""context_peak"":1920.0,""dependency_operations"":0.0,""files_read"":6.0,""files_written"":1.0,""model_calls"":4.0,""tests_executed"":0.0,""tokens"":1730.0,""tool_calls"":4.0,""wall_clock_seconds"":6.277140412013978}",,,,
