method,run_id,round,selected_candidate,true_best_candidate,ISR,hf_cost
Proxy Only,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,0.0
Random HF,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,1.0
Paired LUCB,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,1.0
Global-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,1.0
PIVOT-H,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,1.0
PIVOT-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,1.0
All-HF Oracle,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
Proxy Only,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,0.0
Random HF,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
Paired LUCB,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
Global-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
PIVOT-H,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
PIVOT-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
All-HF Oracle,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
Proxy Only,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,0.0
Random HF,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
Paired LUCB,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
Global-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
PIVOT-H,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
PIVOT-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
All-HF Oracle,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,e73001b07ee27cf2b02b,0.0,2.0
Proxy Only,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,0.0
Random HF,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,1.0
Paired LUCB,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,d9013a104d99cf7669fc,0.0,1.0
Global-VOI,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,d9013a104d99cf7669fc,0.0,1.0
PIVOT-H,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,d9013a104d99cf7669fc,0.0,1.0
PIVOT-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,1.0
All-HF Oracle,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
Proxy Only,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,0.0
Random HF,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
Paired LUCB,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
Global-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
PIVOT-H,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
PIVOT-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
All-HF Oracle,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
Proxy Only,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,0.0
Random HF,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
Paired LUCB,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
Global-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
PIVOT-H,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
PIVOT-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
All-HF Oracle,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,d9013a104d99cf7669fc,0.0,2.0
